Ref,Body_Style,Doors,Cab_Config,Bed_Length_in,Bed_Volume_cuft,Roof_Height,Wheelbase_in,Length_in,Width_in,Height_in,Track_Front_in,Track_Rear_in,Ground_Clearance_in,Approach_Angle_deg,Departure_Angle_deg,Breakover_Angle_deg,Drag_Coefficient,Cargo_Volume_cuft,Cargo_Volume_Max_cuft,Fuel_Capacity_gal,Seating_Rows
nhtsa-aston-martin-vantage-body-106-3,,,,,,,106.3,176,76.4,50,,,,,,,,,,,
nhtsa-aston-martin-vantage-body-106-3-2,,,,,,,106.3,177.6,78,50,,,,,,,,,,,
nhtsa-aston-martin-vantage-body-106-3-3,,,,,,,106.3,176.8,78,50,65.7,65.4,,,,,,,,,
nhtsa-aston-martin-vantage-convertible-106-3,Convertible,,,,,,106.3,177.6,78,50,,,,,,,,,,,
nhtsa-aston-martin-vantage-convertible-106-3-2,Convertible,,,,,,106.3,176,76.4,50,,,,,,,,,,,
nhtsa-aston-martin-virage-body-2dr-107-9,,2,,,,,107.9,185,74.8,50.8,62.6,62.2,,,,,,,,,
nhtsa-aston-martin-virage-coupe-2dr-102-8,Coupe,2,,,,,102.8,187.8,73.6,52.4,59.4,61,,,,,,,,,
nhtsa-aston-martin-virage-coupe-2dr-107-9,Coupe,2,,,,,107.9,185,74.8,50.4,62.6,62.2,,,,,,,,,
nhtsa-audi-100-sedan-105-9,Sedan,,,,,,105.9,192.9,71.3,55.5,58.3,58.3,,,,,,,,,
nhtsa-audi-100-sedan-4dr-105-9,Sedan,4,,,,,105.9,192.5,70.1,56.7,59.8,59.8,,,,,,,,,
nhtsa-audi-100-sedan-4dr-105-9-2,Sedan,4,,,,,105.9,192.5,70.9,56.7,59.8,59.8,,,,,,,,,
nhtsa-audi-100-sedan-4dr-105-9-3,Sedan,4,,,,,105.9,192.5,70.1,56.3,59.8,59.8,,,,,,,,,
nhtsa-audi-100-wagon-105-9,Wagon,,,,,,105.9,192.9,71.3,55.5,58.3,58.3,,,,,,,,,
nhtsa-audi-100-wagon-105-9-2,Wagon,,,,,,105.9,192.9,71.3,55.5,,,,,,,,,,,
nhtsa-audi-100-wagon-4dr-105-9,Wagon,4,,,,,105.9,192.5,70.1,57.1,59.8,59.8,,,,,,,,,
nhtsa-audi-200-sedan-105-9,Sedan,,,,,,105.9,192.9,71.3,55.9,57.9,57.9,,,,,,,,,
nhtsa-audi-200-sedan-4dr-105-9,Sedan,4,,,,,105.9,192.9,71.3,55.9,57.9,57.9,,,,,,,,,
nhtsa-audi-200-sedan-4dr-105-9-2,Sedan,4,,,,,105.9,192.5,71.3,55.9,59.4,60.2,,,,,,,,,
nhtsa-audi-4000-body-100,,,,,,,100,176.8,66.1,53.9,,,,,,,,,,,
nhtsa-audi-4000-body-99-6,,,,,,,99.6,176.8,66.1,53.5,,,,,,,,,,,
nhtsa-audi-4000-coupe-100,Coupe,,,,,,100,177.2,66.1,53.5,,,,,,,,,,,
nhtsa-audi-4000-sedan-4dr-100,Sedan,4,,,,,100,176.8,66.1,54.3,,,,,,,,,,,
nhtsa-audi-4000-sedan-4dr-99-6,Sedan,4,,,,,99.6,176.8,66.5,54.3,,,,,,,,,,,
nhtsa-audi-5000-body-105-5,,,,,,,105.5,189,69.7,54.7,,,,,,,,,,,
nhtsa-audi-5000-body-105-9,,,,,,,105.9,189,69.7,54.7,,,,,,,,,,,
nhtsa-audi-5000-body-105-9-2,,,,,,,105.9,192.5,71.3,55.5,,,,,,,,,,,
nhtsa-audi-5000-body-105-9-3,,,,,,,105.9,192.9,71.3,55.9,,,,,,,,,,,
nhtsa-audi-5000-body-4dr-105-9,,4,,,,,105.9,189,69.7,54.7,,,,,,,,,,,
nhtsa-audi-5000-sedan-105-9,Sedan,,,,,,105.9,192.9,71.3,55.9,,,,,,,,,,,
nhtsa-audi-5000-sedan-4dr-105-9,Sedan,4,,,,,105.9,192.9,71.3,55.9,,,,,,,,,,,
nhtsa-audi-5000-wagon-105-9,Wagon,,,,,,105.9,192.9,71.3,55.9,,,,,,,,,,,
nhtsa-audi-90-body-100,,,,,,,100,172.8,66.9,55.1,,,,,,,,,,,
nhtsa-audi-90-convertible-2dr-100-8,Convertible,2,,,,,100.8,172.4,66.9,55.5,56.7,56.7,,,,,,,,,
nhtsa-audi-90-coupe-100-4,Coupe,,,,,,100.4,176,67.7,54.3,56.7,57.1,,,,,,,,,
nhtsa-audi-90-sedan-100,Sedan,,,,,,100,176.4,66.9,54.7,55.9,55.9,,,,,,,,,
nhtsa-audi-90-sedan-100-4,Sedan,,,,,,100.4,176.4,66.9,54.7,55.9,55.9,,,,,,,,,
nhtsa-audi-90-sedan-4dr-102-8,Sedan,4,,,,,102.8,181.5,66.9,54.7,54.7,54.7,,,,,,,,,
nhtsa-audi-a3-body-103-9,,,,,,,103.9,169.7,70.5,56.3,60.6,59.4,,,,,,,,,
nhtsa-audi-a3-body-4dr-101-6,,4,,,,,101.6,168.9,68.5,57.5,59.8,58.3,,,,,,,,,
nhtsa-audi-a3-body-4dr-101-6-2,,4,,,,,101.6,168.9,68.5,55.9,59.8,58.3,,,,,,,,,
nhtsa-audi-a3-convertible-102-4,Convertible,,,,,,102.4,174.8,70.9,53.5,60.6,59.4,,,,,,,,,
nhtsa-audi-a3-sedan-103-9,Sedan,,,,,,103.9,175.6,70.9,55.9,61.4,60.2,,,,,,,,,
nhtsa-audi-a3-sedan-4dr-103-9,Sedan,4,,,,,103.9,175.6,70.9,55.9,61.4,60.2,,,,,,,,,
nhtsa-audi-a3-sedan-4dr-103-9-2,Sedan,4,,,,,103.9,177.2,71.7,56.3,61,60.2,,,,,,,,,
nhtsa-audi-a4-allroad-body-110-6,,,,,,,110.6,185.8,72.4,57.9,62.2,61.8,,,,,,,,,
nhtsa-audi-a4-allroad-body-111,,,,,,,111,187,72.4,58.7,62.2,61.8,,,,,,,,,
nhtsa-audi-a4-allroad-body-111-2,,,,,,,111,187.4,72.8,59.1,62.2,61.8,,,,,,,,,
nhtsa-audi-a4-convertible-104-3,Convertible,,,,,,104.3,179.9,70.1,54.7,59.4,59.4,,,,,,,,,
nhtsa-audi-a4-convertible-2dr-104-3,Convertible,2,,,,,104.3,179.9,70.1,54.7,59.4,59.4,,,,,,,,,
nhtsa-audi-a4-sedan-4dr-102-8,Sedan,4,,,,,102.8,178,68.1,55.9,59.1,58.3,,,,,,,,,
nhtsa-audi-a4-sedan-4dr-103-1,Sedan,4,,,,,103.1,178,68.1,55.9,59.1,58.3,,,,,,,,,
nhtsa-audi-a4-sedan-4dr-103-1-2,Sedan,4,,,,,103.1,178,68.1,55.9,58.3,57.9,,,,,,,,,
nhtsa-audi-a4-sedan-4dr-104-3,Sedan,4,,,,,104.3,179.1,69.7,56.3,60.6,59.8,,,,,,,,,
nhtsa-audi-a4-sedan-4dr-104-3-2,Sedan,4,,,,,104.3,180.7,69.7,56.3,59.1,59.1,,,,,,,,,
nhtsa-audi-a4-sedan-4dr-110-6,Sedan,4,,,,,110.6,185,72,56.3,61,60.6,,,,,,,,,
nhtsa-audi-a4-sedan-4dr-111,Sedan,4,,,,,111,186.2,71.3,55.1,61.8,61,,,,,,,,,
nhtsa-audi-a4-sedan-4dr-111-2,Sedan,4,,,,,111,187.4,72.8,56.3,61.8,61,,,,,,,,,
nhtsa-audi-a4-wagon-4dr-103-9,Wagon,4,,,,,103.9,180.3,69.7,56.3,59.4,59.1,,,,,,,,,
nhtsa-audi-a4-wagon-4dr-104-3,Wagon,4,,,,,104.3,180.3,69.3,57.1,59.4,59.1,,,,,,,,,
nhtsa-audi-a4-wagon-4dr-104-3-2,Wagon,4,,,,,104.3,180.7,70.1,56.3,58.7,58.7,,,,,,,,,
nhtsa-audi-a4-wagon-4dr-110-6,Wagon,4,,,,,110.6,185,72,56.7,60.2,60.2,,,,,,,,,
nhtsa-audi-a4-wagon-4dr-110-6-2,Wagon,4,,,,,110.6,185,72,56.3,60.2,60.2,,,,,,,,,
nhtsa-audi-a5-body-111-4,,,,,,,111.4,186.6,72.4,54.3,62.6,61.8,,,,,,,,,
nhtsa-audi-a5-body-111-4-2,,,,,,,111.4,187.4,72.4,54.3,62.6,61.8,,,,,,,,,
nhtsa-audi-a5-body-2dr-108-3,,2,,,,,108.3,182.7,72.8,53.9,61.8,61.8,,,,,,,,,
nhtsa-audi-a5-convertible-2dr-108-3,Convertible,2,,,,,108.3,182.7,72.8,53.9,61.8,61.8,,,,,,,,,
nhtsa-audi-a5-convertible-2dr-108-7,Convertible,2,,,,,108.7,183.9,72.8,53.9,62.6,61.8,,,,,,,,,
nhtsa-audi-a5-convertible-2dr-108-7-2,Convertible,2,,,,,108.7,185,72.8,53.9,62.6,61.8,,,,,,,,,
nhtsa-audi-a5-coupe-2dr-108-3,Coupe,2,,,,,108.3,182.7,72.8,53.9,61.8,61.8,,,,,,,,,
nhtsa-audi-a5-coupe-2dr-108-7,Coupe,2,,,,,108.7,183.9,72.8,53.9,62.6,61.8,,,,,,,,,
nhtsa-audi-a5-coupe-2dr-108-7-2,Coupe,2,,,,,108.7,185,72.8,53.9,62.6,61.8,,,,,,,,,
nhtsa-audi-a5-sedan-4dr-113-8,Sedan,4,,,,,113.8,190.2,73.2,56.7,63.8,63.4,,,,,,,,,
nhtsa-audi-a6-allroad-wagon-4dr-115-4,Wagon,4,,,,,115.4,194.9,74.8,57.9,65,63.4,,,,,,,,,
nhtsa-audi-a6-sedan-4dr-105-9,Sedan,4,,,,,105.9,192.5,70.1,56.7,60.2,59.8,,,,,,,,,
